item,price,도착예정
"아이스크림 막대 원형 하드 스틱 나무 바 소 중 대, 일반(소)",600원,1/30(화) 도착 예정
"아이스크림모양 마시멜로우 콘 과자 90g, 1개, 7g",620원,모레(금) 도착 예정
아기 아이스크림 팥빙수 유니콘 앞머리 집게핀 머리핀 세트,630원,모레(금) 도착 예정
"아이스크림 막대 원형 하드 스틱 나무 바 소 중 대, 일반(소)",600원,1/30(화) 도착 예정
JS 아이스크림 디저트 수저 숟가락 롱 티스푼 1P,900원,모레(금) 도착 예정
JS 다회용 빙수 아이스크림 디저트 스푼 화이트 1P,900원,모레(금) 도착 예정
"수채화로 그린 투명스티커 10종(아이스크림 고양이등), 비오는날","1,000원",1/30(화) 도착 예정
"막대 아이스크림 나무스틱 도구 세트 50 PS 우드 자작 왁싱 품제작 매 커피 제모 바 oho*3478pP, 1, 50매입, 본상품선택","1,020원",모레(금) 도착 예정
"코쿤 MS 망고바 1팩(아이스 쭈쭈바), 1개, 450ml","1,030원",모레(금) 도착 예정
"17줄 초등학생 스프링노트 무제공책 1-2학년 88834 2762pq, 댕댕이아이스크림행성","1,130원",1/27(토) 도착 예정
