N,종목명,현재가,전일비,등락률,액면가,시가총액(억원),상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"75,000",100,-0.13%,100,"4,477,337","5,969,783",54.31,"9,562,830",15.94,17.07,
2,SK하이닉스,"139,400","3,200",-2.24%,"5,000","1,014,835","728,002",53.31,"1,900,804",-8.84,3.56,
3,LG에너지솔루션,"375,000","3,000",+0.81%,500,"877,500","234,000",4.82,"102,829",57.67,5.75,
4,삼성바이오로직스,"794,000","1,000",+0.13%,"2,500","565,122","71,174",10.90,"38,247",60.32,11.42,
5,삼성전자우,"60,400",100,+0.17%,100,"497,024","822,887",73.15,"429,901",12.84,N/A,
6,셀트리온,"183,700",100,+0.05%,"1,000","400,431","217,981",22.59,"375,566",44.52,13.35,
7,현대차,"183,400","3,300",+1.83%,"5,000","387,949","211,532",33.70,"171,802",4.41,9.36,
8,NAVER,"218,500","1,500",+0.69%,100,"354,863","162,409",48.43,"172,066",42.30,3.29,
9,기아,"87,400",200,+0.23%,"5,000","351,387","402,044",39.30,"414,264",3.84,14.57,
10,POSCO홀딩스,"406,000","7,500",+1.88%,"5,000","343,359","84,571",27.46,"464,041",27.72,6.11,
11,LG화학,"389,500","2,500",+0.65%,"5,000","274,957","70,592",42.22,"148,123",23.40,6.95,
12,카카오,"57,600","1,200",+2.13%,100,"256,234","444,850",26.78,"653,226",587.76,13.54,
13,삼성SDI,"360,000","2,000",+0.56%,"5,000","247,552","68,765",43.82,"326,188",11.98,12.52,
14,삼성물산,"116,400",200,-0.17%,100,"216,029","185,592",20.85,"52,122",9.50,7.16,
15,포스코퓨처엠,"269,500","6,500",+2.47%,500,"208,763","77,463",7.16,"338,362",258.14,4.87,
16,KB금융,"51,000","1,700",+3.45%,"5,000","205,791","403,511",72.66,"632,442",4.37,9.17,
17,신한지주,"38,850","1,700",+4.58%,"5,000","199,207","512,759",60.95,"831,958",4.91,9.70,
18,현대모비스,"201,500","2,500",+1.26%,"5,000","188,715","93,655",39.02,"42,791",5.57,6.80,
19,LG전자,"92,300","1,100",+1.21%,"5,000","151,047","163,648",28.55,"173,036",24.81,6.61,
20,카카오뱅크,"29,300","1,450",+5.21%,"5,000","139,724","476,872",16.16,"1,219,558",41.09,4.68,
21,HMM,"20,200","1,450",+7.73%,"5,000","139,186","689,039",9.87,"3,015,182",4.66,64.98,
22,에코프로머티,"184,300","7,700",-4.01%,500,"127,140","68,985",1.10,"1,111,626",626.87,6.77,
23,삼성에스디에스,"163,200","1,500",-0.91%,500,"126,281","77,378",18.56,"50,604",15.88,14.23,
24,메리츠금융지주,"61,800","1,400",+2.32%,500,"125,684","203,372",17.21,"255,230",5.71,30.32,
25,하나금융지주,"42,650","1,400",+3.39%,"5,000","124,690","292,357",68.63,"616,147",3.42,10.06,
26,삼성생명,"61,600",600,+0.98%,500,"123,200","200,000",17.81,"96,674",4.93,5.73,
27,한국전력,"18,220",210,-1.14%,"5,000","116,966","641,964",13.97,"491,636",-0.85,-46.91,
28,SK,"158,300","1,800",+1.15%,200,"115,873","73,198",23.95,"30,239",-14.81,5.13,
29,KT&G,"85,900",200,+0.23%,"5,000","114,954","133,822",42.44,"49,525",16.09,11.00,
