제목,가격,e북가격,연도,등수
아주 희미한 빛으로도 (최은영 소설),15120,10620,2023.08.07.,소설 5위
도시와 그 불확실한 벽 (무라카미 하루키 장편소설),17550,12600,2023.09.06.,소설 6위
미들마치 1,15390,11340,2024.01.15.,소설 108위
미들마치 2,15390,11340,2024.01.15.,소설 144위
페어워닝 (마이클 코넬리 장편소설),18810, ,2024.01.23.,소설 105위
파친코(합본 한정판) (이민진 장편소설),23090, ,2023.12.20.,소설 57위
요괴어사 2: 각성 (역사 판타지 소설),15390, ,2023.12.18.,소설 85위
라디오 체조 (오쿠다 히데오 장편소설),14540,12240,2023.11.28.,소설 54위
위시 (니컬러스 스파크스 장편소설),14970, ,2023.12.01.,소설 115위
해리 포터와 아즈카반의 죄수(미나리마 에디션),32490, ,2023.10.03.,소설 100위
아주 오래된 시에서 찾아낸 삶의 해답 (혼자라도 걱정 않는 삶),15390, ,2024.01.25.,시/에세이 70위
죽음 이야기(상) (Faust Box),10260, ,2024.01.10.,소설 99위
죽음 이야기(하) (Faust Box),10260, ,2024.01.10.,소설 111위
마리 앙투아네트 (베르사유와 프랑스혁명),14110, ,2023.10.23.,역사 90위
메리골드 마음 사진관,14540, ,2024.01.12.,소설 2위
눈에 갇힌 외딴 산장에서,16080, ,2023.07.18.,소설 40위
꿀벌의 예언 2 (베르나르 베르베르 장편소설),14370,12150,2023.06.22.,소설 116위
사라진 것들 (앤드루 포터 소설),16200,11340,2024.01.15.,소설 13위
지구 생물체는 항복하라 (정보라 연작소설집),14370, ,2024.01.29.,소설 119위
전생했더니 슬라임이었던 건에 대하여 21 (S Novel+),10260, ,2024.01.18.,소설 92위
명탐정의 창자,14970,12600,2024.01.31.,소설 83위
속임수의 섬,15390,11340,2024.01.29.,소설 59위
