제목,가격,e북가격,등수,연도
아주 희미한 빛으로도 (최은영 소설),15120,10620,소설 5위,2023.08.07.
도시와 그 불확실한 벽 (무라카미 하루키 장편소설),17550,12600,소설 6위,2023.09.06.
금단의 마술,16080,NO,소설 17위,2024.02.02.
구름에 달 가리운 방금 전까지 인간이었다,14370,10584,소설 89위,2024.01.31.
요괴어사 2: 각성 (역사 판타지 소설),15390,NO,소설 128위,2023.12.18.
파친코(합본 한정판) (이민진 장편소설),23090,NO,소설 80위,2023.12.20.
위시 (니컬러스 스파크스 장편소설),14970,NO,소설 81위,2023.12.01.
라디오 체조 (오쿠다 히데오 장편소설),14540,12240,소설 63위,2023.11.28.
해리 포터와 아즈카반의 죄수(미나리마 에디션),32490,NO,소설 64위,2023.10.03.
멜랑콜리아 1-2 (2023년 노벨문학상 수상작가 욘 포세 대표작),14540,10710,소설 134위,2023.10.06.
아주 오래된 시에서 찾아낸 삶의 해답 (혼자라도 걱정 않는 삶),15390,NO,시/에세이 128위,2024.01.25.
눈에 갇힌 외딴 산장에서,16080,NO,소설 32위,2023.07.18.
메리골드 마음 사진관,15300,NO,소설 1위,2024.01.12.
지구 생물체는 항복하라 (정보라 연작소설집),14370,NO,소설 20위,2024.01.29.
완전 부부 범죄,13260,9720,소설 127위,2024.01.18.
전생했더니 슬라임이었던 건에 대하여 21 (S Novel+),10260,NO,소설 111위,2024.01.18.
사라진 것들 (앤드루 포터 소설),16200,11340,소설 11위,2024.01.15.
명탐정의 창자,14970,12600,소설 132위,2024.01.31.
속임수의 섬,15390,11340,소설 61위,2024.01.29.
격정세계 (찬쉐 장편소설),17100,NO,소설 125위,2024.01.31.
매니악,15390,12150,소설 92위,2024.01.26.
약사의 혼잣말 13 (카니발 플러스),7700,NO,소설 149위,2024.01.10.
프랭키,14370,NO,소설 37위,2024.01.30.
조릿대 베개,15120,NO,소설 97위,2024.01.31.
듄의 세계 (『듄』에 영감을 준 모든 것들),19800,11200,소설 105위,2024.01.04.
이처럼 사소한 것들,12420,NO,소설 2위,2023.11.27.
호밀밭의 파수꾼,8550,NO,소설 57위,2023.01.17.
돌연한 출발 (프란츠 카프카 단편선),13680,10080,소설 68위,2023.04.07.
작은 책방,15390,11340,소설 79위,2023.12.21.
귀신들의 땅 (천쓰홍 장편소설),15390,11340,소설 28위,2023.12.29.
나미야 잡화점의 기적(무선 보급판) (히가시노 게이고 장편소설),12400,9000,소설 88위,2022.12.19.
왜 나는 너를 사랑하는가(70만 부 기념 리커버),11970,8820,소설 33위,2022.11.10.
단 한 사람 (최진영 장편소설),10800,10800,소설 38위,2023.09.30.
날씨가 좋으면 찾아가겠어요 (이도우 장편소설),14540,10710,소설 106위,2023.11.22.
꿰맨 눈의 마을 (조예은 소설),11110,8190,소설 95위,2023.12.15.
데미안,7200,5040,소설 16위,2009.01.20.
인간 실격,8100,5670,소설 13위,2012.04.10.
참을 수 없는 존재의 가벼움 (국내 출간 30주년 기념 특별판),15300,NO,소설 22위,2018.06.20.
모비딕(무삭제 완역본),15120,12600,소설 76위,2022.09.02.
말하고 싶은 비밀 (영화 '말하고 싶은 비밀' 원작),13260,9765,소설 47위,2023.12.08.
7인 1역,13260,NO,소설 27위,2023.12.01.
"설자은, 금성으로 돌아오다 (정세랑 장편소설)",14370,10620,소설 137위,2023.10.30.
"불편한 편의점 (김호연 장편소설, 40만부 기념 벚꽃 에디션)",12600,8820,소설 9위,2021.04.20.
구의 증명,10800,8640,소설 14위,2023.04.26.
종의 기원 (정유정 장편소설),11120,8190,소설 136위,2016.05.16.
스파이 외전 (남조선 해방전쟁 프로젝트),14970,NO,소설 133위,2023.11.30.
멋진 신세계,10350,7460,소설 40위,2015.06.12.
"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",12830,9450,소설 59위,2023.11.13.
연금술사 (파울로 코엘료 장편소설),8000,7560,소설 146위,2018.12.05.
아침 그리고 저녁 (욘 포세 장편소설ㅣ2023년 노벨문학상 수상작가 욘 포세 소설),10690,7920,소설 53위,2019.07.26.
1984,6300,6930,소설 56위,2007.03.30.
동물농장,6300,5040,소설 69위,2009.01.07.
회색 인간,11120,8190,소설 55위,2017.12.27.
바다가 들리는 편의점(겨울 한정판 에디션),18810,NO,소설 29위,2023.11.30.
파견자들 (김초엽 장편소설),16250,7600,소설 72위,2023.10.13.
