제목,가격,e북가격,연도,등수
국토박물관 순례 1 (선사시대에서 고구려까지),18000,14400,2023.11.20.,역사 25위
"국토박물관 순례 2 (백제, 신라, 그리고 비화가야)",17100,14400,2023.11.20.,역사 22위
프렌즈 캐나다(2023~2024) (밴쿠버 토론토 몬트리올 퀘벡 로키),20520, ,2023.09.14.,여행 35위
프렌즈 미국 동부(2023~2024) (뉴욕·워싱턴 DC·보스턴·시카고),19670, ,2023.08.21.,여행 41위
저스트고 동유럽 3개국(2023-2024) (체코·오스트리아·헝가리),18000,12600,2023.06.21.,여행 13위
"프렌즈 튀르키예(터키)(2023~2024) (최고의 튀르키예 여행을 위한 한국인 맞춤형 가이드북, 최신판 ’23~’24)",23940, ,2023.07.14.,여행 28위
리얼 독일(2024~2025) (독일을 가장 멋지게 여행하는 방법),19670,16560,2023.11.20.,여행 90위
우리들의 발리 여행 (쉽고 새로운 여행의 시작),17820, ,2023.09.25.,여행 19위
팔로우 호주(2024-2025) (시드니·브리즈번·멜버른·퍼스),18390, ,2023.12.26.,여행 10위
"프렌즈 뉴욕(2024~2025) (최고의 뉴욕 여행을 위한 한국인 맞춤형 가이드북, 2024~2025년 개정판)",17820, ,2023.11.06.,여행 11위
저스트고 유럽 5개국(2023-2024) (영국·프랑스·스위스·이탈리아·스페인),18810,13860,2023.03.24.,여행 29위
지리의 힘 1~2권 리커버 세트 (블랙 & 화이트 스페셜 한정판),36770, ,2022.12.06.,사회/정치 27위
전국김밥일주 (죽기 전에 꼭 먹어봐야 할 김밥 맛집 136),15390,11340,2023.04.25.,여행 69위
"해시태그 나트랑 & 무이네, 달랏 (2024 최신판)",15310,8950,2024.01.28.,여행 112위
디스 이즈 도쿄(2024~2025) (This is TOKYO),16930, ,2024.02.01.,여행 1위
타히티 (세계의 여행객들이 매료된 타히티),12830, ,2024.01.30.,여행 136위
1초 여행 꿀팁 (급할 때 바로 써먹는),14540, ,2024.01.31.,여행 3위
에이든 홍콩 여행지도(2024-2025) (수만 시간 노력해 지도로 만든 홍콩 여행 가이드 총정리),16930, ,2024.02.06.,여행 7위
특별하게 런던(2024~2025) (2024~2025 최신판),17960, ,2024.02.05.,여행 49위
디스 이즈 오사카(This is Osaka)(2024~2025) (오사카 교토 고베 나라 와카야마),16930, ,2024.02.05.,여행 6위
리얼 오키나와(2024~2025) (오키나와를 가장 멋지게 여행하는 방법),15390, ,2024.01.30.,여행 9위
리얼 코타키나발루(2024~2025) (코타키나발루를 가장 멋지게 여행하는 방법),16250, ,2024.02.02.,여행 111위
천천히 교토 산책 (걷고 맛보고 즐기는 나만의 교토 여행),16080, ,2024.02.01.,여행 56위
포르투갈 셀프 트래블(2024-2025) (2024~2025 최신판),15390,11340,2023.11.01.,여행 92위
대한민국 완전정복 가이드북 (구석구석 대한민국을 100% 여행하는 방법),21380, ,2023.10.05.,여행 147위
"프렌즈 미국 서부(2023~2024) (최고의 미국 서부 여행을 위한 한국인 맞춤형 가이드북, 23~’24 최신판)",20700, ,2023.06.01.,여행 21위
클로즈업 오사카(2024) (스마트폰에 최적화된 모습으로 새롭게 돌아온),17100,3000,2023.10.20.,여행 118위
해시태그 오스트리아(2024~2025) (2024~2025 최신판),16160, ,2024.01.26.,여행 114위
서울의 맛집(2024) (블루리본 서베이),16250, ,2023.10.17.,여행 119위
셀프트래블 이탈리아(2024~2025) (2024~2025 최신판),16930, ,2024.01.18.,여행 30위
25박 26일 치앙마이 불효자 투어 (대환장 치앙마이 한 달 살기),17100, ,2024.01.06.,여행 50위
해시태그 스코틀랜드(2024~2025) (2024~2025 최신판),15310, ,2024.01.20.,여행 113위
무작정 따라하기 스페인·포르투갈(2023-2024) (2023-24 최신개정판),20520,17280,2023.07.25.,여행 123위
저스트고 오사카(2024~2025) (교토 고베 나라 와카야마),17960, ,2024.01.15.,여행 63위
"1:100000 도로지도 지도대사전 (전국도로관광상세도, 지도대사전)",34200, ,2023.09.01.,여행 150위
리얼 포르투갈(2024~2025) (포르투갈을 가장 멋지게 여행하는 방법),16250,13680,2024.01.02.,여행 76위
"프렌즈 독일(2023~2024) (최고의 독일 여행을 위한 한국인 맞춤형 가이드북, 2023~2024년 개정판)",15300, ,2022.12.05.,여행 133위
도쿄의 맛있는 커피집 (기자들이 찾아낸 도쿄 최고의 카페와 킷사텐 38!),15820, ,2023.08.25.,여행 58위
"에이든 후쿠오카 여행지도(2024-2025) (수만 시간 노력해 지도의 형태로 만든 후쿠오카 여행 가이드북, 2024-2025)",16930,13770,2023.08.16.,여행 80위
프렌즈 체코(2024~2025) (최고의 체코 여행을 위한 한국인 맞춤형 가이드북),21380,22500,2024.01.08.,여행 87위
해시태그 프랑스 자동차여행(2024~2025) (혼자서도 여행할 수 있는 방법을 알려준다),16930, ,2023.12.27.,여행 115위
디스 이즈 타이완 (2023~2024) (THIS IS TAIWAN),18900, ,2023.07.20.,여행 15위
"프렌즈 태국(2024~2025) (최고의 태국 여행을 위한 한국인 맞춤형 가이드북, 최신판 ’23~’24)",16920, ,2023.11.20.,여행 43위
해시태그 그리스(2024~2025) (혼자서도 여행할 수 있는 방법을 알려준다),16160, ,2023.12.17.,여행 140위
해시태그 나트랑 & 달랏(2024~2025) (혼자서도 여행할 수 있는 방법을 알려준다),16160, ,2023.12.15.,여행 141위
"프렌즈 파리(’24~’25) (최고의 파리 여행을 위한 한국인 맞춤형 가이드북, 최신판 ’24~’25)",17960, ,2023.12.26.,여행 22위
식객 허영만의 백반기행 베스트500 (식객이 4년 동안 까다롭게 고른 전국 최고의 맛집),41900, ,2023.05.25.,여행 96위
일본 현지 빵 대백과,15390,12150,2023.04.17.,여행 100위
리얼 홋카이도(2024~2025) (홋카이도를 가장 멋지게 여행하는 방법),15820,13320,2023.11.20.,여행 40위
인조이 이집트(2024~2025) (여행을 즐기는 가장 빠른 방법),14280,10530,2023.10.25.,여행 79위
