제목,가격,e북가격,연도,등수
할아버지가 들려주는 6.25전쟁 이야기,21380, ,2024.01.03.,역사 25위
초판본 징비록(국보 132호 초판본 표지디자인) (국보 132호 오리지널 초판본 패브릭 표지디자인),14370, ,2023.12.20.,역사 128위
성서의 역사 (세상에서 가장 영향력 있는 책 이야기),47030,34650,2023.12.07.,종교 75위
총 균 쇠 (인간 사회의 운명을 바꾼 힘),26820,20250,2023.05.11.,역사 3위
나의 문화유산답사기 서울편 9~12권 세트 (전4권),71820, ,2022.11.11.,역사 113위
잡동산이 현대사 세트 (전우용의 근현대 한국 박물지),67500, ,2023.12.08.,역사 7위
벌거벗은 한국사: 영웅편 (본격 우리 역사 스토리텔링쇼),16920,11880,2023.12.04.,역사 26위
최태성의 365 한국사 일력 (곁에 두고 쉽게 배우는 오늘의 역사),19800, ,2023.11.06.,역사 19위
아는 만큼 보인다 (한 권으로 읽는 나의 문화유산답사기),19800,15840,2023.06.09.,역사 21위
조선 왕 연대기 (조선을 뒤흔든 피할 수 없는 운명의 사건 80),19670, ,2024.01.22.,역사 42위
포천,18810, ,2024.01.31.,역사 75위
북으로 간 언어학자 김수경,25650, ,2024.02.06.,역사 41위
외우지 않고 통째로 이해하는 통한국사 1: 구석기에서 고려까지 (구석기에서 고려까지),17000,13860,2023.09.21.,역사 106위
12.12 쿠데타와 나,15820, ,2024.01.31.,역사 30위
곽재식의 속절없이 빠져드는 화학전쟁사 (삼국 시대부터 조선 시대까지 전쟁의 승패를 갈랐던 화학 이야기),16930,14256,2024.01.17.,역사 150위
허준 평전 (네 얼굴의 유의),17100, ,2024.01.26.,역사 18위
세계사 속의 한국근현대사,24800, ,2024.01.22.,역사 33위
"뭉우리돌의 들녘 (국외독립운동 이야기 : 러시아, 네덜란드 편)",19800, ,2024.01.19.,역사 127위
"역사를 품은 역, 역세권",15220, ,2024.01.18.,역사 147위
"박시백의 고려사 4 (대몽항쟁의 끝, 부마국 고려)",12400,9135,2023.08.28.,역사 94위
"스파이와 배신자 (역사상 가장 중요한 이중 스파이, 올레크 고르디옙스키)",27360,23040,2023.07.15.,역사 79위
나의 문화유산답사기 12: 서울편(4) (강북과 강남: 한양도성 밖 역사의 체취),13500,15840,2022.10.25.,역사 114위
초판본 난중일기(오리지널 초판본 패브릭 표지 디자인) (오리지널 초판본 패브릭 표지디자인),15820, ,2023.12.20.,역사 35위
"요즘 어른을 위한 최소한의 세계사 (펼치는 순간 단숨에 6,000년 역사가 읽히는)",16920, ,2023.09.22.,역사 1위
최소한의 한국사(10만 부 기념 청자 에디션) (5천 년 역사가 단숨에 이해되는),16200,11340,2023.06.21.,역사 2위
설민석의 조선왕조실록 (대한민국이 선택한 역사 이야기),18810,14850,2016.07.20.,역사 40위
잡동산이 현대사 1: 일상·생활 (전우용의 근현대 한국 박물지),21380, ,2023.12.08.,역사 43위
여행자를 위한 교토 답사기,18810, ,2023.09.22.,역사 93위
잡동산이 현대사 3: 정치 경제 (전우용의 근현대 한국 박물지),21380, ,2023.12.08.,역사 129위
잡동산이 현대사 2: 사회 문화 (전우용의 근현대 한국 박물지),21380, ,2023.12.08.,역사 104위
1945년 해방 직후사 (현대 한국의 원형),24300, ,2023.11.24.,역사 10위
황현필의 한국사 평생 일력,19800, ,2023.11.11.,역사 13위
축의 시대 (종교의 탄생과 철학의 시작),27360, ,2010.12.20.,역사 145위
국화와 칼 (일본 문화의 틀),10260,6480,2019.08.25.,역사 100위
문명의 붕괴(Collapse) (과거의 위대했던 문명은 왜 몰락했는가),26010,17910,2005.11.03.,역사 146위
역사는 반복된다 (수구 기득권 카르텔의 탄생),14970,11025,2023.11.06.,역사 53위
100가지 동물로 읽는 세계사 (티라노사우루스부터 북극곰까지 인류와 공생한 동물들의 이야기),28220,22500,2023.03.31.,역사 111위
일본군 위안부 인사이드 아웃,25650, ,2023.12.07.,역사 130위
"한 권으로 읽는 조선왕조실록 (전면개정판, 한 권으로 읽는 실록 시리즈 8)",17100,12600,2017.02.10.,역사 101위
외우지 않고 통째로 이해하는 통한국사 2: 조선에서 현대까지 (조선에서 현대까지),18810,13860,2023.09.21.,역사 133위
할아버지가 들려주는 6.25전쟁 이야기,21380, ,2024.01.03.,역사 25위
초판본 징비록(국보 132호 초판본 표지디자인) (국보 132호 오리지널 초판본 패브릭 표지디자인),14370, ,2023.12.20.,역사 128위
성서의 역사 (세상에서 가장 영향력 있는 책 이야기),47030,34650,2023.12.07.,종교 75위
총 균 쇠 (인간 사회의 운명을 바꾼 힘),26820,20250,2023.05.11.,역사 3위
나의 문화유산답사기 서울편 9~12권 세트 (전4권),71820, ,2022.11.11.,역사 113위
잡동산이 현대사 세트 (전우용의 근현대 한국 박물지),67500, ,2023.12.08.,역사 7위
벌거벗은 한국사: 영웅편 (본격 우리 역사 스토리텔링쇼),16920,11880,2023.12.04.,역사 26위
최태성의 365 한국사 일력 (곁에 두고 쉽게 배우는 오늘의 역사),19800, ,2023.11.06.,역사 19위
아는 만큼 보인다 (한 권으로 읽는 나의 문화유산답사기),19800,15840,2023.06.09.,역사 21위
조선 왕 연대기 (조선을 뒤흔든 피할 수 없는 운명의 사건 80),19670, ,2024.01.22.,역사 42위
