제목,가격,e북가격,연도,등수
마흔에 읽는 쇼펜하우어 (마음의 위기를 다스리는 철학 수업),"15,300","12,150",2023.09.07.,인문 1위
남에게 보여주려고 인생을 낭비하지 마라 (쇼펜하우어 소품집),"15,750","10,800",2023.10.30.,인문 2위
인생의 태도 (행복한 이기주의자로 평생 살아보니 알게 된 것들),"15,140","12,744",2024.01.08.,인문 85위
문과 남자의 과학 공부 (나는 무엇이고 왜 존재하며 어디로 가는가?),"14,970","11,250",2023.06.23.,인문 23위
쇼펜하우어 아포리즘: 당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 (쇼펜하우어 아포리즘),"15,750","10,584",2023.06.21.,인문 5위
쇼펜하우어의 인생 수업 (살아갈 힘을 주는 쇼펜하우어 아포리즘),"12,740","8,050",2023.11.24.,인문 56위
인간다움 (인간다운 삶을 지탱하는 3가지 기준),"16,930","7,920",2023.11.29.,인문 146위
이토록 멋진 인생이라니 (모리가 화요일에 다하지 못한 마지막 이야기),"16,080","12,510",2023.11.24.,인문 50위
"사피엔스 (유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문)","22,920","15,750",2023.04.01.,인문 19위
군주론,"14,540","10,800",2023.10.16.,인문 27위
내가 틀릴 수도 있습니다(토마스 산체스 에디션) (숲속의 현자가 전하는 마지막 인생 수업),"14,400", ,2024.01.08.,인문 16위
미움받을 용기 2(200만 부 기념 스페셜 에디션) (사랑과 진정한 자립에 대한 아들러의 가르침),"13,600","11,430",2022.12.28.,인문 107위
고통 구경하는 사회 (우리는 왜 불행과 재난에서 눈을 떼지 못하는가),"14,970","11,025",2023.10.15.,인문 92위
삶이 괴로울 땐 공부를 시작하는 것이 좋다 (일상을 연구하는 과학자가 발견한 사는 게 재밌어지는 가장 신박한 방법),"14,970", ,2023.12.20.,인문 80위
호모 데우스 (미래의 역사),"19,800","15,750",2023.08.01.,인문 132위
벌써 마흔이 된 딸에게 (어떻게 살아야 하느냐고 묻는다면),"15,390","11,700",2024.01.24.,인문 13위
총 균 쇠(출간 25주년 기념 양장판) (인간 사회의 운명을 바꾼 힘),"32,220", ,2023.08.10.,역사 8위
스토킹 (신인류의 범죄),"15,390", ,2024.01.03.,사회/정치 95위
돈으로 살 수 없는 것들 (무엇이 가치를 결정하는가),"13,680","10,080",2012.04.24.,인문 101위
"내 문장이 그렇게 이상한가요? (내가 쓴 글, 내가 다듬는 법)","11,970","7,560",2016.01.24.,인문 68위
"도둑맞은 집중력 (집중력 위기의 시대, 삶의 주도권을 되찾는 법)","16,920","12,600",2023.04.28.,인문 3위
"당신이 만나야 할 단 하나의 논어 (혼돈의 시대, 생의 처음이자 마지막 고전)","16,920", ,2024.01.30.,인문 7위
"죽음이 물었다, 어떻게 살 거냐고 (찬란한 생의 끝에 만난 마지막 문장들)","16,020","11,250",2023.12.25.,인문 8위
