제목,가격,연도,등수
스타트 잉글리시(EBS 방송교재 2024년 2월호),"7,200",2024.01.15.,국어/외국어 39위
진짜 미국 영어(EBS 방송교재 2024년 2월호),"7,200",2024.01.15.,국어/외국어 46위
알기 쉬운 경제 지표 해설(2023),"10,400",2023.12.20.,사회/정치 27위
일반인을 위한 한국은행의 알기쉬운 경제이야기 (제7판),"7,980",2020.12.11.,사회/정치 59위
"문학매거진 시마(2023 가을, 17호)","11,970",2023.09.07., 
"지금, 만화(2023년 21호) (역사 + 만화)","2,570",2024.01.10.,1월 신간도서
OhBoy! Magazine No 125: 14TH ANNIVERSARY!,"7,600",2023.12.25.,12월 신간도서
HAND 7호,"14,220",2023.12.21.,12월 신간도서
계간 미스터리(2023 겨울호) (통권 제80호),"12,830",2023.12.15., 
"서울리뷰오브북스(12호)(2023 겨울) (겨울호 특집 리뷰: 인공지능, 어디까지 왔고 어디로 가는가)","12,830",2023.12.15., 
브리크(brique) Vol 14(2023년 겨울호),"19,000",2023.12.11., 
"크리티크M(Critique M)(2023년 7호) (몸몸몸, 자본주의의 오래된 신화)","15,670",2023.11.27., 
월간 공공성(2023년 12월호)(창간호) (창간호),"11,400",2023.12.15., 
"움직이는 아시아, Verb (창간호)","12,830",2023.11.23., 
An Usual(언유주얼)(2020년 10월호)(Vol 10) (XXXY - 여와 남),"11,550",2020.10.13., 
"지금, 만화(20호) (개그 + 만화)","2,570",2023.11.06., 
An Usual(언유주얼)(2021년 5월호)(Vol 12) (나는 내가 나인 게 - I MY ME MINE),"11,550",2021.05.12., 
월간불광(2023년 11월호 589호) (금강역사: 사찰로 온 헤라클레스),"10,800",2023.11.01., 
An Usual(언유주얼)(2019년 10월호)(Vol 4) (내가 그린 기린 그림은),"11,550",2019.09.25., 
0과 1 문학(2023년 창간호) (2023 창간호),"11,940",2023.10.30., 
An Usual(언유주얼)(2019년 8월호)(Vol 3) (준비중ing니다),"11,550",2019.07.31., 
마니에르 드 부아르(Maniere de voir Vol 13) (언어는 권력이다),"17,100",2023.10.27., 
OhBoy! Magazine No 124: GREEN GREEN FESTIVALS,"7,600",2023.10.25., 
다시개벽(2023 가을호)(제12호) (사물이 마음으로 말한다),"12,830",2023.09.30., 
"월간불광(2023년 10월호 588호) (신라불교의 시작, 아도와 구미 선산)","10,800",2023.10.01., 
공간과 사회(2023년 제85호) 33권 3호,"34,200",2023.09.30., 
"1.5℃(1.5도씨) ISSUE No 5: Carbon Villain, SEOUL?","13,680",2023.09.11., 
"지금, 만화(19호) (인공지능 + 만화)","2,570",2023.09.05., 
다음세대논술 워크북(2024년 1/2월호),"5,700",2023.09.01., 
Mellow Dog Volume 8(멜로우 매거진),"14,540",2023.08.31., 
OhBoy! Magazine No 123: 100 FACTS FOR AN UNSELFISH WORLD,"7,600",2023.08.25., 
크리티크M(Critique M)(2023년 6호) (마녀들이 돌아왔다),"15,670",2023.08.23., 
피치 바이 매거진(2023년 12호),"13,300",2023.08.04., 
피치 바이 매거진(2023년 11호),"13,300",2023.08.04., 
풍시조(2016년 제19호),"9,000",2016.06.25., 
미래서정(2013),"10,260",2013.07.20., 
환청 (2014 제21호),"9,000",2014.03.29., 
초우문학(2016 6호) (2015 제6호),"13,500",2015.11.02., 
아리수문단(2014 제2집) (2014년 제2집),"13,500",2014.08.15., 
꽃씨를 털다(2015),"10,800",2015.06.23., 
스타트 잉글리시(EBS 방송교재 2024년 2월호),"7,200",2024.01.15.,국어/외국어 39위
진짜 미국 영어(EBS 방송교재 2024년 2월호),"7,200",2024.01.15.,국어/외국어 46위
알기 쉬운 경제 지표 해설(2023),"10,400",2023.12.20.,사회/정치 27위
일반인을 위한 한국은행의 알기쉬운 경제이야기 (제7판),"7,980",2020.12.11.,사회/정치 59위
"문학매거진 시마(2023 가을, 17호)","11,970",2023.09.07., 
"지금, 만화(2023년 21호) (역사 + 만화)","2,570",2024.01.10.,1월 신간도서
OhBoy! Magazine No 125: 14TH ANNIVERSARY!,"7,600",2023.12.25.,12월 신간도서
HAND 7호,"14,220",2023.12.21.,12월 신간도서
계간 미스터리(2023 겨울호) (통권 제80호),"12,830",2023.12.15., 
"서울리뷰오브북스(12호)(2023 겨울) (겨울호 특집 리뷰: 인공지능, 어디까지 왔고 어디로 가는가)","12,830",2023.12.15., 
브리크(brique) Vol 14(2023년 겨울호),"19,000",2023.12.11., 
