제목,가격,연도,등수
"팀 켈러, 집사를 말하다 (교회의 기초를 이루는 고귀한 부르심)","13,680",2023.11.15.,종교 36위
햇살콩 말씀기도 365,"10,800",2023.11.10.,종교 93위
어쩌다 거룩하게 (망가진 존재 속에서 반짝이는 은총의 순간들),"15,750",2024.01.22.,종교 3위
"주님, 당신 품 안에서 (영적 치유와 성장을 바라는 이들에게 드리는 선물)","13,500",2024.01.25.,종교 90위
영혼을 위한 싸움 (예수 동행을 가로막는 일곱 가지 죄),"14,400",2024.01.24.,종교 14위
시편의 사람 (시편 1-150편 해설과 묵상),"26,100",2024.01.16.,종교 28위
받아서 먹어라 이것은 내 몸이다 (2024 사순절 묵상집),"3,060",2024.01.15.,종교 116위
우리가 반드시 가야 할 나라 (예수 그리스도),"4,500",2024.01.12.,종교 10위
왕의 지혜 (365일 시편 잠언 말씀 묵상),"39,600",2024.01.05.,종교 2위
야곱뎐 (미달자 야곱에 관한 신밀한 탐색과 탐구),"29,700",2024.01.30.,종교 64위
예수를 만난 사람들(1세기 팔레스타인에서) (1세기 팔레스타인에서),"14,370",2024.01.31.,종교 58위
"고맙다, 오늘도 버텨주어서 (치열한 삶을 포기하지 않고 버텨낼 때 들리는 그분의 음성)","14,540",2024.01.25.,종교 65위
하나님의 성격 수업 (MBTI로 살펴보는 크리스천의 올바른 성격 이해),"15,300",2024.01.25.,종교 42위
그리스도는 질문이다 (예수의 정체성에 대한 현대적 탐구),"14,370",2024.01.25.,종교 25위
"사랑하는 그대여 (하루 세 번, 멈추고 하나님 음성 듣기 60일)","11,700",2024.01.24.,종교 59위
믿음의 정석 (불확실한 인생길에서의 승리 공식),"14,400",2024.01.24.,종교 115위
재즈처럼 하나님은 (내게 오신 예수님이 당신에게도 오셨으면 좋겠다),"16,200",2024.01.23.,종교 91위
신자병법 (신앙은 물론 삶에서도 승리하는 믿음의 법칙과 비결),"19,800",2024.01.08.,종교 47위
영어 성경 필사 노트: 마르코 복음서 (마르코 복음서),"16,200",2024.01.10.,종교 33위
싸이코 패밀리라도 괜찮아 (어느 조울증 가족이 정신질환과 동행하는 법),"14,370",2024.01.19.,종교 141위
헨리 나우웬의 주의 길을 내게 보이소서 (부활의 아침을 향한 사순절 묵상),"13,680",2024.01.17.,종교 81위
중세와 그리스도교 (그리스도교 세계의 안과 밖),"25,650",2024.01.15.,종교 142위
"주 예수여, 오시옵소서 (예수 그리스도의 재림에 관한 묵상)","17,100",2024.01.12.,종교 143위
안녕하세요 목사님 질문 있어요,"12,830",2023.12.29.,종교 92위
우리는 날마다 교회가 무엇인지 묻는다 (말씀이 실제가 되는 교회론),"15,750",2024.01.25.,종교 27위
성경 365 구약편 (당신도 성경 일독 할 수 있다!),"27,000",2024.01.11.,종교 117위
일 년 열두 달 가정 독서 (아이와 함께 읽고 성장하는),"13,500",2024.01.22.,종교 140위
왜 예수인가?(10주년 기념 스페셜 에디션) (Why Jesus),"9,900",2023.12.27.,종교 82위
특강 잠언 (가르침·변화·인격에 관한 이스라엘 지혜 담론),"27,900",2024.01.02.,종교 119위
"하나님의 음성 (말씀과 함께하는 거룩한 습관, 매일만나 365)","22,500",2023.12.13.,종교 4위
예수님과 함께하는 하루 (365일 예수 동행 묵상),"24,300",2023.12.25.,종교 37위
신들과 함께: 고대 근동의 눈으로 구약의 하나님 보기 (고대 근동의 눈으로 구약의 하나님 보기),"17,100",2023.12.20.,종교 66위
예배소품 (교회력에 따른 52주 설교와 예배곡 묵상 모음),"16,250",2023.12.12.,종교 119위
온전론(출간 기념 스터디 가이드 증정) (거룩한 습관을 형성하는 ‘목자의 심정’ 제자훈련론),"29,700",2023.12.12.,종교 49위
"탈기독교시대 교회 (왜 교회를 떠나는가, 어떻게 다시 오게 할 것인가)","17,100",2023.12.20.,종교 144위
믿지 않을 수 없는 예수,"7,200",2023.12.16.,종교 23위
성령이 임하시면 권능을 받고,"11,120",2023.12.18.,종교 67위
내안에 거하라 (포도나무와 하나된 가지처럼),"18,810",2023.12.15.,종교 48위
이제서야 이해되는 불교 (단숨에 읽어지고 즐겁게 깨치는 원영 스님의 불교 수업),"15,390",2023.05.23.,종교 29위
날마다 축복해 (성경의 핵심 교리로 지혜가 자라는 우리 아이 3분 기도),"17,960",2023.12.13.,종교 118위
"팀 켈러, 집사를 말하다 (교회의 기초를 이루는 고귀한 부르심)","13,680",2023.11.15.,종교 36위
햇살콩 말씀기도 365,"10,800",2023.11.10.,종교 93위
어쩌다 거룩하게 (망가진 존재 속에서 반짝이는 은총의 순간들),"15,750",2024.01.22.,종교 3위
"주님, 당신 품 안에서 (영적 치유와 성장을 바라는 이들에게 드리는 선물)","13,500",2024.01.25.,종교 90위
