제목,가격,e북가격,연도,등수
빙하 조선 (정명섭 장편소설),"11,550","8,505",2024.01.03.,청소년 86위
아몬드(청소년) (손원평 장편소설),"15,120", ,2023.07.14.,청소년 34위
곰브리치 세계사 (예일대 특별판),"20,700", ,2023.09.12.,청소년 21위
페인트(교보문고 단독 리커버 에디션) (제12회 창비청소년문학상 수상작)수상작,"11,700","9,360",2023.11.17.,청소년 16위
여름을 한 입 베어 물었더니 (이꽃님 장편소설),"11,250","7,920",2023.08.18.,청소년 10위
가온의 술사들,"13,680", ,2023.12.10.,청소년 147위
모모,"10,800","6,930",2009.10.20.,청소년 27위
오이대왕,"9,900", ,2013.08.10.,청소년 7위
방황하는 소설,"14,540", ,2023.12.22.,청소년 99위
핵폭발 뒤 최후의 아이들(개정판),"6,900", ,2016.07.15.,청소년 97위
"보이지 않는 도시, 퍼머루트 1부: 공중에 떠 있는 집 1 (공중에 떠 있는 집)","11,550","9,000",2023.11.01.,청소년 118위
순례 주택 (유은실 소설),"13,500", ,2023.08.24.,청소년 9위
10대를 위한 데일 카네기 인간관계론 (세상에 나가기 전에 꼭 알아야 할 인간관계 법칙 30가지),"10,800", ,2023.11.25.,청소년 40위
이토록 공부가 재미있어지는 순간(50만 부 기념 우리들 에디션) (공부에 지친 청소년들을 위한 힐링 에세이),"13,500", ,2023.08.01.,청소년 1위
기억 전달자,"10,800","5,985",2007.05.18.,청소년 18위
로스쿨에 가고 싶어졌습니다 (서울대 로스쿨 학생들이 직접 말하는 지금 로스쿨 이야기),"16,250", ,2023.12.01.,청소년 78위
국어 교과서 작품 읽기: 중1 세트 (시/소설/수필),"30,780", ,2017.12.27.,청소년 52위
"국어 교과서 작품 읽기: 중2 세트 (시, 소설, 수필)","30,780", ,2018.12.10.,청소년 135위
"문학을 열다 세트 (나의 첫 문학 수업, 전6권)","64,130", ,2020.09.10.,청소년 22위
빅터 프랭클의 죽음의 수용소에서,"11,120","7,200",2021.08.25.,청소년 75위
트루먼 스쿨 악플 사건,"7,700", ,2009.01.05.,청소년 29위
곰브리치 세계사,"14,540","10,710",2010.08.13.,청소년 62위
빅데이터 시대에 10대가 꼭 알아야 할 손자병법,"11,800", ,2024.02.01.,청소년 30위
"10대를 위한 총균쇠 수업 (하룻밤에 다 읽는 흥미진진 문명사, 총균쇠 해설서)","14,400","11,520",2023.08.15.,청소년 2위
진짜 수학 공부법 (류승재 특급 비법),"12,830","9,450",2023.01.25.,청소년 125위
서울대 의대 1학년의 찐 합격 노트 (6개 의대 동시 합격! 공스타 ‘서리’의 생활 관리부터 수시 입시까지),"15,390", ,2023.11.05.,청소년 42위
울고 싶은 나는 고양이 가면을 쓴다,"11,970","4,900",2023.02.16.,청소년 73위
"원자력, 무엇이 문제일까? (탄소중립 시대, 원자력 발전과 에너지 믹스)","12,830","9,450",2023.01.20.,청소년 43위
6교시 인성 영역 (김송은 장편소설),"13,510", ,2024.01.10.,청소년 115위
햇볕에 말리면 가벼워진다,"9,000", ,2024.01.12.,청소년 146위
네임 스티커 (황보나 장편소설),"10,690", ,2024.01.25.,청소년 20위
뷔페 접시,"16,200","13,770",2024.01.30.,청소년 33위
"오백 년째 열다섯(10만부 기념 교보문고 단독 리커버) (김혜정 장편소설, 텍스트 T 1)","11,250", ,2023.07.28.,청소년 11위
체리새우: 비밀글입니다 (제9회 문학동네청소년문학상 대상 수상작 | 황영미 장편소설),"10,350","7,290",2019.01.28.,청소년 12위
테스터 (이희영 장편소설),"11,970","8,820",2022.11.28.,청소년 91위
카메라와 워커 (박완서 소설),"9,000", ,2024.01.19.,청소년 37위
"청소년 마약에 관한 모든 질문 (양육자가 묻고, 마약 전문 변호사가 답하다)","14,370", ,2024.01.30.,청소년 72위
한국단편소설 40 (수능ㆍ논술ㆍ내신을 위한 필독서 | 인물 관계도 수록 개정판),"14,370", ,2012.11.26.,청소년 49위
최적의 공부 뇌 (평범한 뇌도 탁월하게 만드는 두뇌 개조 프로젝트),"14,370","10,350",2023.06.28.,청소년 23위
갈매기에게 나는 법을 가르쳐준 고양이 (8세부터 88세까지 읽는 동화),"8,380","18,000",2021.09.30.,청소년 35위
빙하 조선 (정명섭 장편소설),"11,550","8,505",2024.01.03.,청소년 86위
아몬드(청소년) (손원평 장편소설),"15,120", ,2023.07.14.,청소년 34위
곰브리치 세계사 (예일대 특별판),"20,700", ,2023.09.12.,청소년 21위
페인트(교보문고 단독 리커버 에디션) (제12회 창비청소년문학상 수상작)수상작,"11,700","9,360",2023.11.17.,청소년 16위
여름을 한 입 베어 물었더니 (이꽃님 장편소설),"11,250","7,920",2023.08.18.,청소년 10위
가온의 술사들,"13,680", ,2023.12.10.,청소년 147위
모모,"10,800","6,930",2009.10.20.,청소년 27위
오이대왕,"9,900", ,2013.08.10.,청소년 7위
방황하는 소설,"14,540", ,2023.12.22.,청소년 99위
핵폭발 뒤 최후의 아이들(개정판),"6,900", ,2016.07.15.,청소년 97위
"보이지 않는 도시, 퍼머루트 1부: 공중에 떠 있는 집 1 (공중에 떠 있는 집)","11,550","9,000",2023.11.01.,청소년 118위
순례 주택 (유은실 소설),"13,500", ,2023.08.24.,청소년 9위
10대를 위한 데일 카네기 인간관계론 (세상에 나가기 전에 꼭 알아야 할 인간관계 법칙 30가지),"10,800", ,2023.11.25.,청소년 40위
이토록 공부가 재미있어지는 순간(50만 부 기념 우리들 에디션) (공부에 지친 청소년들을 위한 힐링 에세이),"13,500", ,2023.08.01.,청소년 1위
기억 전달자,"10,800","5,985",2007.05.18.,청소년 18위
로스쿨에 가고 싶어졌습니다 (서울대 로스쿨 학생들이 직접 말하는 지금 로스쿨 이야기),"16,250", ,2023.12.01.,청소년 78위
국어 교과서 작품 읽기: 중1 세트 (시/소설/수필),"30,780", ,2017.12.27.,청소년 52위
"국어 교과서 작품 읽기: 중2 세트 (시, 소설, 수필)","30,780", ,2018.12.10.,청소년 135위
"문학을 열다 세트 (나의 첫 문학 수업, 전6권)","64,130", ,2020.09.10.,청소년 22위
빅터 프랭클의 죽음의 수용소에서,"11,120","7,200",2021.08.25.,청소년 75위
트루먼 스쿨 악플 사건,"7,700", ,2009.01.05.,청소년 29위
곰브리치 세계사,"14,540","10,710",2010.08.13.,청소년 62위
